forecast_run_id,sku_id,model_name,evaluation_window_days,wape,bias,run_date,data_status
FR-SKU001-20260805,SKU001,Seasonal Naive (7-day),30,0.1247,-0.0431,2026-08-05,synthetic
FR-SKU002-20260805,SKU002,Seasonal Naive (7-day),30,0.1685,0.0648,2026-08-05,synthetic
FR-SKU003-20260805,SKU003,Seasonal Naive (7-day),30,0.115,0.0067,2026-08-05,synthetic
FR-SKU004-20260805,SKU004,Seasonal Naive (7-day),30,0.1567,0.0978,2026-08-05,synthetic
FR-SKU005-20260805,SKU005,Seasonal Naive (7-day),30,0.1408,0.0044,2026-08-05,synthetic
FR-SKU006-20260805,SKU006,Seasonal Naive (7-day),30,0.174,0.0799,2026-08-05,synthetic
FR-SKU007-20260805,SKU007,Seasonal Naive (7-day),30,0.1258,-0.0314,2026-08-05,synthetic
FR-SKU008-20260805,SKU008,Seasonal Naive (7-day),30,0.1256,-0.0562,2026-08-05,synthetic
FR-SKU009-20260805,SKU009,Seasonal Naive (7-day),30,0.1266,0.0316,2026-08-05,synthetic
FR-SKU010-20260805,SKU010,Seasonal Naive (7-day),30,0.0998,0.0396,2026-08-05,synthetic
FR-SKU011-20260805,SKU011,Seasonal Naive (7-day),30,0.1745,-0.0347,2026-08-05,synthetic
FR-SKU012-20260805,SKU012,Seasonal Naive (7-day),30,0.1474,0.0632,2026-08-05,synthetic
FR-SKU013-20260805,SKU013,Seasonal Naive (7-day),30,0.1716,0.1025,2026-08-05,synthetic
FR-SKU014-20260805,SKU014,Seasonal Naive (7-day),30,0.1246,-0.0206,2026-08-05,synthetic
FR-SKU015-20260805,SKU015,Seasonal Naive (7-day),30,0.1865,0.1302,2026-08-05,synthetic
FR-SKU016-20260805,SKU016,Seasonal Naive (7-day),30,0.1435,-0.0339,2026-08-05,synthetic
FR-SKU017-20260805,SKU017,Seasonal Naive (7-day),30,0.164,0.0848,2026-08-05,synthetic
FR-SKU018-20260805,SKU018,Seasonal Naive (7-day),30,0.1872,0.0978,2026-08-05,synthetic
FR-SKU019-20260805,SKU019,Seasonal Naive (7-day),30,0.1393,0.0118,2026-08-05,synthetic
FR-SKU020-20260805,SKU020,Seasonal Naive (7-day),30,0.1408,0.0981,2026-08-05,synthetic
FR-SKU021-20260805,SKU021,Seasonal Naive (7-day),30,0.1495,0.0392,2026-08-05,synthetic
FR-SKU022-20260805,SKU022,Seasonal Naive (7-day),30,0.1172,0.0685,2026-08-05,synthetic
FR-SKU023-20260805,SKU023,Seasonal Naive (7-day),30,0.1575,-0.0256,2026-08-05,synthetic
FR-SKU024-20260805,SKU024,Seasonal Naive (7-day),30,0.1275,0.0215,2026-08-05,synthetic
FR-SKU025-20260805,SKU025,Seasonal Naive (7-day),30,0.1184,0.057,2026-08-05,synthetic
FR-SKU026-20260805,SKU026,Seasonal Naive (7-day),30,0.1463,-0.0654,2026-08-05,synthetic
FR-SKU027-20260805,SKU027,Seasonal Naive (7-day),30,0.2062,0.0875,2026-08-05,synthetic
FR-SKU028-20260805,SKU028,Seasonal Naive (7-day),30,0.1163,-0.0287,2026-08-05,synthetic
FR-SKU029-20260805,SKU029,Seasonal Naive (7-day),30,0.1538,0.1102,2026-08-05,synthetic
FR-SKU030-20260805,SKU030,Seasonal Naive (7-day),30,0.1239,0.033,2026-08-05,synthetic
