forecast_run_id,sku_id,forecast_date,forecast_qty,model_name,data_status
FR-SKU001-20260805,SKU001,2026-08-06,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-07,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-08,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-09,29,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-10,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-11,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-12,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-13,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-14,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-15,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-16,29,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-17,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-18,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-19,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-20,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-21,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-22,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-23,29,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-24,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-25,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-26,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-27,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-28,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-29,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-30,29,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-08-31,24,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-09-01,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-09-02,26,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-09-03,25,Seasonal Naive (7-day),synthetic
FR-SKU001-20260805,SKU001,2026-09-04,25,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-06,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-07,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-08,43,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-09,46,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-10,32,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-11,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-12,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-13,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-14,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-15,43,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-16,46,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-17,32,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-18,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-19,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-20,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-21,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-22,43,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-23,46,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-24,32,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-25,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-26,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-27,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-28,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-29,43,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-30,46,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-08-31,32,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-09-01,42,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-09-02,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-09-03,37,Seasonal Naive (7-day),synthetic
FR-SKU002-20260805,SKU002,2026-09-04,42,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-06,70,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-07,99,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-08,87,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-09,65,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-10,57,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-11,51,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-12,50,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-13,70,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-14,99,Seasonal Naive (7-day),synthetic
FR-SKU003-20260805,SKU003,2026-08-15,87,Seasonal Naive (7-day),synthetic
