inventory_id,lot_id,location_id,on_hand_qty,available_qty,reserved_qty,quarantine_qty,last_updated,scenario,data_status
INV0001,LOT0001,LOC01,550,507,27,16,2026-08-05T18:00:00,normal,synthetic
INV0002,LOT0002,LOC01,725,668,36,21,2026-08-05T18:00:00,normal,synthetic
INV0003,LOT0003,LOC01,625,594,31,0,2026-08-05T18:00:00,normal,synthetic
INV0004,LOT0004,LOC01,525,499,26,0,2026-08-05T18:00:00,normal,synthetic
INV0005,LOT0005,LOC01,234,216,11,7,2026-08-05T18:00:00,stockout,synthetic
INV0006,LOT0006,LOC01,117,112,5,0,2026-08-05T18:00:00,stockout,synthetic
INV0007,LOT0007,LOC01,234,223,11,0,2026-08-05T18:00:00,stockout,synthetic
INV0008,LOT0008,LOC01,273,260,13,0,2026-08-05T18:00:00,stockout,synthetic
INV0009,LOT0009,LOC01,2592,2463,129,0,2026-08-05T18:00:00,expiry,synthetic
INV0010,LOT0010,LOC01,2754,2617,137,0,2026-08-05T18:00:00,expiry,synthetic
INV0011,LOT0011,LOC01,2538,2412,126,0,2026-08-05T18:00:00,expiry,synthetic
INV0012,LOT0012,LOC01,3186,3027,159,0,2026-08-05T18:00:00,expiry,synthetic
INV0013,LOT0013,LOC01,2184,2075,109,0,2026-08-05T18:00:00,transfer,synthetic
INV0014,LOT0014,LOC01,2340,2223,117,0,2026-08-05T18:00:00,transfer,synthetic
INV0015,LOT0015,LOC01,1872,1779,93,0,2026-08-05T18:00:00,transfer,synthetic
INV0016,LOT0016,LOC01,1612,1484,80,48,2026-08-05T18:00:00,transfer,synthetic
INV0017,LOT0017,LOC01,1323,1218,66,39,2026-08-05T18:00:00,normal,synthetic
INV0018,LOT0018,LOC01,1176,1118,58,0,2026-08-05T18:00:00,normal,synthetic
INV0019,LOT0019,LOC01,1421,1350,71,0,2026-08-05T18:00:00,normal,synthetic
INV0020,LOT0020,LOC01,1421,1350,71,0,2026-08-05T18:00:00,normal,synthetic
INV0021,LOT0021,LOC01,141,130,7,4,2026-08-05T18:00:00,stockout,synthetic
INV0022,LOT0022,LOC01,141,130,7,4,2026-08-05T18:00:00,stockout,synthetic
INV0023,LOT0023,LOC01,329,313,16,0,2026-08-05T18:00:00,stockout,synthetic
INV0024,LOT0024,LOC01,235,224,11,0,2026-08-05T18:00:00,stockout,synthetic
INV0025,LOT0025,LOC01,648,597,32,19,2026-08-05T18:00:00,expiry,synthetic
INV0026,LOT0026,LOC01,990,941,49,0,2026-08-05T18:00:00,expiry,synthetic
INV0027,LOT0027,LOC01,990,941,49,0,2026-08-05T18:00:00,expiry,synthetic
