lot_id,sku_id,manufacturing_date,expiry_date,data_status
LOT0001,SKU001,2026-08-05,2027-02-01,synthetic
LOT0002,SKU001,2026-07-23,2027-01-19,synthetic
LOT0003,SKU001,2026-05-15,2026-11-11,synthetic
LOT0004,SKU001,2026-08-20,2027-02-16,synthetic
LOT0005,SKU002,2026-01-22,2026-10-19,synthetic
LOT0006,SKU002,2026-01-21,2026-10-18,synthetic
LOT0007,SKU002,2026-01-21,2026-10-18,synthetic
LOT0008,SKU002,2026-03-10,2026-12-05,synthetic
LOT0009,SKU003,2025-11-23,2026-08-20,synthetic
LOT0010,SKU003,2025-12-12,2026-09-08,synthetic
LOT0011,SKU003,2025-12-10,2026-09-06,synthetic
LOT0012,SKU003,2026-01-06,2026-10-03,synthetic
LOT0013,SKU004,2025-12-18,2026-09-14,synthetic
LOT0014,SKU004,2025-12-21,2026-09-17,synthetic
LOT0015,SKU004,2026-01-23,2026-10-20,synthetic
LOT0016,SKU004,2026-02-07,2026-11-04,synthetic
LOT0017,SKU005,2026-05-10,2027-02-04,synthetic
LOT0018,SKU005,2026-04-20,2027-01-15,synthetic
LOT0019,SKU005,2026-05-25,2027-02-19,synthetic
LOT0020,SKU005,2026-04-21,2027-01-16,synthetic
LOT0021,SKU006,2026-05-20,2026-11-16,synthetic
LOT0022,SKU006,2026-04-25,2026-10-22,synthetic
LOT0023,SKU006,2026-05-28,2026-11-24,synthetic
LOT0024,SKU006,2026-06-12,2026-12-09,synthetic
LOT0025,SKU007,2026-02-25,2026-08-24,synthetic
LOT0026,SKU007,2026-03-22,2026-09-18,synthetic
LOT0027,SKU007,2026-03-26,2026-09-22,synthetic
LOT0028,SKU007,2026-03-25,2026-09-21,synthetic
LOT0029,SKU008,2026-03-07,2026-09-03,synthetic
LOT0030,SKU008,2026-04-10,2026-10-07,synthetic
LOT0031,SKU008,2026-05-19,2026-11-15,synthetic
LOT0032,SKU008,2026-05-09,2026-11-05,synthetic
LOT0033,SKU009,2026-09-07,2027-01-05,synthetic
LOT0034,SKU009,2026-07-31,2026-11-28,synthetic
