sales_date,sku_id,location_id,quantity_sold,promotion_flag,data_status
2025-08-06,SKU001,LOC03,33,0,synthetic
2025-08-07,SKU001,LOC03,25,0,synthetic
2025-08-08,SKU001,LOC02,23,0,synthetic
2025-08-09,SKU001,LOC02,33,0,synthetic
2025-08-10,SKU001,LOC03,28,0,synthetic
2025-08-11,SKU001,LOC02,23,0,synthetic
2025-08-12,SKU001,LOC03,22,0,synthetic
2025-08-13,SKU001,LOC03,24,0,synthetic
2025-08-14,SKU001,LOC02,26,0,synthetic
2025-08-15,SKU001,LOC02,22,0,synthetic
2025-08-16,SKU001,LOC02,27,0,synthetic
2025-08-17,SKU001,LOC02,34,0,synthetic
2025-08-18,SKU001,LOC02,23,0,synthetic
2025-08-19,SKU001,LOC02,22,0,synthetic
2025-08-20,SKU001,LOC02,20,0,synthetic
2025-08-21,SKU001,LOC02,14,0,synthetic
2025-08-22,SKU001,LOC02,32,0,synthetic
2025-08-23,SKU001,LOC02,31,0,synthetic
2025-08-24,SKU001,LOC02,25,0,synthetic
2025-08-25,SKU001,LOC03,30,0,synthetic
2025-08-26,SKU001,LOC03,25,0,synthetic
2025-08-27,SKU001,LOC03,32,0,synthetic
2025-08-28,SKU001,LOC03,24,0,synthetic
2025-08-29,SKU001,LOC02,25,0,synthetic
2025-08-30,SKU001,LOC02,29,0,synthetic
2025-08-31,SKU001,LOC02,33,0,synthetic
2025-09-01,SKU001,LOC03,26,0,synthetic
2025-09-02,SKU001,LOC02,27,0,synthetic
2025-09-03,SKU001,LOC03,24,0,synthetic
2025-09-04,SKU001,LOC02,34,1,synthetic
2025-09-05,SKU001,LOC03,23,0,synthetic
2025-09-06,SKU001,LOC02,30,0,synthetic
2025-09-07,SKU001,LOC03,33,0,synthetic
2025-09-08,SKU001,LOC02,24,0,synthetic
2025-09-09,SKU001,LOC03,28,0,synthetic
2025-09-10,SKU001,LOC03,32,1,synthetic
2025-09-11,SKU001,LOC02,26,0,synthetic
2025-09-12,SKU001,LOC02,27,0,synthetic
2025-09-13,SKU001,LOC03,35,0,synthetic
2025-09-14,SKU001,LOC02,30,0,synthetic
2025-09-15,SKU001,LOC03,19,0,synthetic
2025-09-16,SKU001,LOC02,26,0,synthetic
2025-09-17,SKU001,LOC02,30,1,synthetic
2025-09-18,SKU001,LOC03,22,0,synthetic
2025-09-19,SKU001,LOC03,26,0,synthetic
2025-09-20,SKU001,LOC02,29,0,synthetic
2025-09-21,SKU001,LOC02,33,0,synthetic
2025-09-22,SKU001,LOC02,24,0,synthetic
2025-09-23,SKU001,LOC03,28,0,synthetic
2025-09-24,SKU001,LOC02,25,0,synthetic
2025-09-25,SKU001,LOC03,29,0,synthetic
2025-09-26,SKU001,LOC03,23,0,synthetic
2025-09-27,SKU001,LOC03,27,0,synthetic
2025-09-28,SKU001,LOC03,23,0,synthetic
2025-09-29,SKU001,LOC03,24,0,synthetic
2025-09-30,SKU001,LOC03,28,0,synthetic
2025-10-01,SKU001,LOC03,22,0,synthetic
2025-10-02,SKU001,LOC03,26,0,synthetic
2025-10-03,SKU001,LOC03,29,0,synthetic
2025-10-04,SKU001,LOC02,35,0,synthetic
2025-10-05,SKU001,LOC03,25,0,synthetic
